content,labels,fold
除夕夜，他们在武汉,neural,0
//@喷嚏网铂程://@Vocarious2016: 这死亡率一点都不低啊//@陈迪Winston:感染者常见症状：发烧98%，咳嗽76%，肌肉酸痛或特别疲劳44%，咳痰28%。55%发生呼吸困难，从发病到呼吸困难的中位数时间为8天。最初一批患者中68%已经出院，15%已经死亡。不知病毒在后来的感染者身上会不会有新的变化。,fear,0
//@易烊千玺de小红鞋:好棒[good][good],happy,0
//@X玖少年团肖战DAYTOY:#武汉加油# 加油！我们一直都在！,happy,0
高[good],happy,0
回复@无敌甜甜甜:这个牌子是不是出加湿器的 我记得我家第一台加湿器就是亚都//@无敌甜甜甜:回复@I99508I9:亚都,neural,0
而且发生后的应急也做得很差，感觉整个政府都要停摆了//@余大能个儿:“老朋友”们下场搅浑水之前其实时间线挺清晰的，疫情爆发前几天各方面对新型病毒的认识还不充分，也没有证据支持那些耸人听闻的说辞和猜测。只能说武汉这次掉以轻心了，确实“缺少底线思维”。,angry,0
#浙江新增确诊病例19例#【杭州通报：新加坡抵杭航班有武汉客人 所有乘客已隔离观察】昨夜10时许，TR188次航班从新加坡到达萧山机场。机上335名乘客中有武汉客人116名。由于事先掌握信息，杭州市与机场联动进行了严格管控。飞机着陆后，2名发烧人员即送至萧山区第一人民医院，其余武汉乘客在机场宾馆就地隔离，219名其他乘客在市委党校集中医学观察。属地党委政府和市卫生健康部门将按照医学隔离标准和诊疗规范，做好后续工作。#新加坡抵杭州一架航班所有乘客隔离# http://t.cn/A6PGcEUx唉#浙江首批135名医护人员驰援武汉#,neural,0
【该重罚！#药店10只口罩卖850元将受高额处罚#】北京市市场监管局消息，1月23日，接举报，北京济民康泰大药房丰台区第五十五分店，10只口罩售价850元，网络售价143元，因哄抬价格，将受到高额处罚。据悉，这是北京疫情防控期间市场监管部门处理的第一起案件。http://t.cn/A6PGMVaw ? ??,neural,0
疯求了吗，禁止机动车出行有事吗?,angry,0
#何宜霖[超话]# 大年初一，瑞雪兆丰年～是个好兆头呢～希望我们众志成城，打赢这场没有硝烟的疫情防控战！宅在家的日子，请10和十全十美一起来看雪吧～??????????????????????????????10，请专注学习、精进业务，等待你王者归来，再次让耳朵只充盈你的声音啊～～～@旅德男中音何宜霖YilinHe http://t.cn/A6Pq00bL,happy,0
/@小飞飞的嘴唇是甜的：他娘的省长和书记都忙着看晚会呢[拜拜]现在在不在湖北还两说 估计跟澳大利亚总理一样出去度假了[拜拜] /@eepruls-：不懂就问，湖北政府武汉政府是不是被隔离了？/@易大大二哒哒：我就想不通了 湖北省这个疫情发源地为啥还不是第一个启动一级响应的地方？,angry,0
//@于晓华_经济:有人说这个计算只假设了20%没有被隔离，确实这个假设目前非常保守。其它的结果，我也有，感兴趣的私信交流，这是一个学术问题。但是中国的高效体制和社会力量已经动员了起开，经过几天调整后会很好的运转起来。瘟疫会很快控制住的！！,happy,0
我觉得这次疫情我们普通人能做的很少，医疗是一个专业性特别强的领域，再加上中国的动员和应急能力，我觉得一切都会好起来，我相信国家，相信我们伟大的民族，和沈宝在一起这么多年，我改变了自己的政治立场。我倒是觉得可以做一点文化类的工作。沈宝刚才累到睡着了，但2个小时后又出现在群里，你要保重啊,happy,0
真的，一开始上头告诉我们没多大的事，所有人都相信他们说的没当回事，最后直到疫情失控之后没有任何应急准备预案，整个舆论导向歌颂医护人员，但医护人员甚至在公共交通停了之后通勤都困难。这次真的是公信力尽失，稀烂市政领导班子对这次疫情有不可推卸的责任！,angry,0
//@高达魔型://@养死乌龟的喵律师:赶紧抓几个查几个//@午后狂睡:一会说尸体无人处理，一会说武汉小汤山要换地址，一会又说钟南山被感染，一会又说梁武东医生是在一线救治过程中牺牲，消停点吧，辟谣再快也赶不上造谣的速度…,angry,0
武汉加油！,happy,0
我劝了那么久他们好不容易耳根软了你们放一个团团圆圆过大年热热闹闹逛庙会一下子就功亏一篑了，“这不没事吗？”。说得我们好像没劝似的，线上线下媒体倒是统一口径呢？！,angry,0
面对来势汹汹的新型冠状病毒肺炎疫情，武汉是怎么封城的？两个少数民族主要领导必须被问责！ ??,angry,0
吓我一跳 我以为塔州也有了 仔细一想只是澳洲领土[允悲]然而墨尔本已经确诊3例了，求求了 别再让土澳雪上加霜了???,fear,0
武汉加油,happy,0
//@赵震JAMES:这个说的确实，恐慌是最大的敌人，但是如何消除普通群众的恐慌却是个大学问。,neural,0
鸭鸭真好,happy,0
致敬新闻工作者,happy,0
不信谣不传谣 如果分辨不了 还是不要刷朋友圈,neural,0
//@樊建川: [加油],happy,0
上饶市防控新型冠状病毒感染的肺炎疫情群众热线电话       为打好打赢我市新型冠状病毒感染的肺炎疫情防控战，上饶市新型冠状病毒感染的肺炎疫情防控应急指挥部设立了群众热线电话，凡发现重点来自湖北等地往来人员及发热病人，请拨打  0793—8177206。      上饶市新型冠状病毒感染的肺炎疫情防控应急指挥部办公室                                                                                                   2020年1月25日,neural,0
停下嘴里的仙贝 突然泪目了,sad,0
因为这疫情...真的是很无奈了 http://t.cn/z8AixfU ??绍兴·上虞,sad,0
【湖北制定医保应对措施，把人员救治放在第一位】#湖北加油武汉挺住# #湖北加油# #加油武汉# #广播新闻中心记者在现场# @湖北之声,happy,0
//@捕鼠者DC:谣言满天飞，少操心自己无力改变的，过好自己的生活。[感冒][感冒][感冒],happy,0
//@羅蜜蜂Bee://@人力资源研究:很有用，大家可以随时看一下,neural,0
【新型冠状病毒科普知识】为你精心准备春节安全出行小贴士，请查收！http://t.cn/A6PGkgvi ??,neural,0
冲在一线的医务人员和记者，捐款捐物资提供免费酒店的大众…我们的确拥有世界最好的人民。//@生菜狂:医生眼眼睛肿成这样了,happy,0
希望疫情快点过去,happy,0
等你们平安归来  一起赏春来百花,happy,0
现在农村还有不知道疫情这个事的村书记！？做个基本的乡亲的责任都没有，更不用说做村官了，如果他真不知道，请自知，如果故意隐瞒，也请自知，东北农村落后最大的原因是什么？请自知！现在如果还因为人祸出问题，活着的人会一直追究责任到底的！辽宁省的应急预案和反应速度也请了解，催促一下，实在领人堪忧，@人民日报,angry,0
我希望我们中国人都坚强起来,happy,0
我姑说我家这边也有1例是从武汉回来休寒假的现在全家都隔离了瑟瑟发抖[感冒] ??,fear,0
加油武汉!加油中国!我们一定能挺过这次危机!#大年初一##全国确诊新型肺炎病例# ??,happy,0
这次夸你,happy,0
开眼界了，我是真的佩服//@Elbereth读作爱尔被累死:呵呵……原po是真搅屎棍了//@Gorou:这都特么的洗的动？还久训缺战，我看是屎吃多了已经不会吃饭了！//@李天飞大话西游:这还洗哪，合着河南提前防控是没有担当，不负责任，制造恐慌了呗。,angry,0
武汉加油！,happy,0
我的心年愿望是世界和平，肺炎早点滚蛋[太开心],happy,0
#小马对你说#      【一图了解多省市一级响应到底是什么？】上海、广东、重庆、云南……截至目前，全国十几个省市都结合#新型冠状病毒感染的肺炎疫情防控形势，启动了重大突发公共卫生事件一级响应。一级响应的内容都有哪些？疫情当前，启动一级响应对把控新型冠状病毒感染的肺炎疫情传播都有哪些作用？,neural,0
[good],happy,0
是，我一直非常清楚，中国社会是一个人情社会但是，讲情面，走亲戚，串门，吃饭，打牌这些事情，还得看看这是什么时候吧！四五十的人了，还当自己无知无畏呢！好不容易劝服我爸不出门，答应我在家好好待着您们一个电话，说打牌，一起出去吃饭，来串门，我劝了好几天的功夫全白费了我非常理解，亲戚嘛，几年不见，一年不见，是该聚聚聊聊但现在疫情这么严重，还是得惜命吧，少吃顿饭，少打顿牌，亲情就淡薄了吗？！真正的亲情还要靠疫情时期的聚众打牌、吃饭、串门来维系吗？！我是真的，想劝劝这些大人，惜惜命，少串门，别搞这些形式，真的关心我们家，打个电话问问，特殊时期少来我们家，不要老打电话叫我爸妈出门，我就谢谢您了！,angry,0
//@重庆山城山大王:[赞][赞][赞][赞],happy,0
我去太真实,surprise,0
别出门了，众志成城，抗击病毒,happy,0
新年好啊，希望这个病毒快点消失,happy,0
终于来了,neural,0
//@蔡徐坤:#武汉加油# 我们一起，打赢这场防御战！向战斗在一线的医护人员致敬！,happy,0
新年快乐哦，祝你今年比去年还要可爱,happy,0
说不感谢都是假的//@袁弘:叩首感谢[泪][作揖],happy,0
旺旺好厉害啊，竟然还有医院。今年多买几包雪饼支持一下[doge],happy,0
366//@未来好时光_83279: 距离湖南台华人华侨春晚还有2个多小时了 王广允的节目在第三个哦 歌曲《我就是你的粉》一定不能错过 哈哈 舞台是他的未来 一起嗨起来 @王广允star,happy,0
900//@未来好时光_83279: 距离湖南台华人华侨春晚还有2个多小时了 王广允的节目在第三个哦 歌曲《我就是你的粉》一定不能错过 哈哈 舞台是他的未来 一起嗨起来 @王广允star,happy,0
//@小贩8422://@午后狂睡:现阶段真的不需要再向武汉捐助物资了，国家调拨的物资都已经先后抵达了，援助人员也都到岗了，安心等待即可，实在要捐，可以看看周边一些需要帮助的医院，另外一些不明募捐者组织的募款活动大家记得擦亮眼睛，特别是私下募款的行为。,neural,0
#陕西出现一名9岁新型肺炎病例#陕西你还不一级响应 你是想吃鸡吗 ??,angry,0
//@Roy_Official://@SourceGas1108:看哭了//@黄靖翔:#各地医生驰援湖北# 这个话题真的看得泪目[泪]，为这些最美的逆行者动容，向奋战在第一线的英雄们致敬！,happy,0
不错不错 加油 [din抓狂],happy,0
#洛阳微城#《微信征集疫情防控线索和工作建议，直通国务院》快速、有效收集全国各地在疫情防控工作中责任落实不到位、防控不力、推诿扯皮、敷衍塞责等问题线索，以及改进和加强防控工作的意见建议。洛阳人、冲![心],neural,0
//@杨林-杨家枪法第六十七代传人:好消息也分享一下，大家其实不用恐慌，该干嘛干嘛。封城减少了大部分流动传播，副总理上前线坐镇指挥调度，强大的国家机器运转起来了，接下来战役依然艰苦但最终肯定能赢[good],happy,0
新年快乐宝贝！,happy,0
希望能平安归来,happy,0
平平安安归来,happy,0
武汉加油！ http://t.cn/A6Pq6Gyq,happy,0
