content,labels,type
气死姐姐了，快二是阵亡了吗，尼玛，一个半小时过去了也没上车,angry,usual
妞妞啊，今天又承办了一个发文登记文号是126~嘻~么么哒~晚安哟,happy,usual
这里还值得注意另一个事实，就是张鞠存原有一个东溪草堂为其读书处。,neural,usual
这在前华约国家(尤其是东德)使用R-73的首次联合演习期间，被一些北约组织的飞行员所证实。,neural,usual
TinyThief上wii了？！,surprise,usual
每天都以紧张的心情工作，真的是太累，太不放松了，想要爆发一下,angry,usual
语文军，数学军，英语军，物理军，政治军，历史军，生物军，地理军，八科联军，侵犯我班，我班战败，被迫签订家长会条约，赔偿给老师总结1000字，学校为使馆界，派各科老师看守，不准我班随意出去，割美术课，体育课，音乐课，活动课给班主任，开放监控设备，下课时间由联军商定！同学们该起义,angry,usual
累了一天！会宿舍听下我搞基新歌！在看看我段宜恩美图！心都被治愈了,happy,usual
四年，又是四年！中国球迷，有几个四年可以任你挥霍！我去年买了个表！,angry,usual
可怕的噩梦…不知道我描述的清不…在做梦　梦里的我也在睡梦中…做梦的我梦里还是在做梦…起先我第一次醒来以为自己醒了但其实是在另一个梦里…于是我开始怕了　我用尽全力挣扎　让自己从一个又一个噩梦里醒来　发觉一直没有尽头　因为它们都有一个共同特点　那就都是黑夜　而我知道真正醒来该是白天…,fear,usual
昨晚又梦见你，骑着电瓶车载你。很甜。吃中饭偶遇你。不知道该不该挽回，不挽回会不会后悔。以后一起去食堂吃饭好不好。,sad,usual
事实……我也害怕也有恐惧担心……因为见过太多婚姻中的家庭那种委屈看着都怕了,fear,usual
那些爱造谣的长舌妇们，我结婚生娃你怎么知道的，我都不知道,angry,usual
韩国漫画，妻子的记忆，结尾让人流泪。,sad,usual
太忙的一天体育课选了个跆拳道韧带拉的宝宝快炸了英语听说老师全程英语快递一下来五个宝宝快累死,angry,usual
能帮助麦当娜把她心中的电影拍摄出来，其实也是件很好的事情。,happy,usual
